,li_group,head_age,nu18,n1864,n65,nu18smooth,n1864smooth,n65smooth
257,"(0.8, 0.9]",33.0,1.5142857142857142,0.7957142857142858,0.0,1.373186518589497,1.81637917944978,0.0
258,"(0.8, 0.9]",34.0,1.6652236652236652,0.8109668109668111,0.0,1.3570064418115848,1.8391361122442298,0.0
259,"(0.8, 0.9]",35.0,1.700763358778626,0.8549618320610688,0.0,1.3531246689113092,1.8635683996694432,0.0
260,"(0.8, 0.9]",36.0,1.7586206896551724,0.8365817091454275,0.0,1.3571278029232685,1.889645306150368,0.0
261,"(0.8, 0.9]",37.0,1.744,0.8719999999999999,0.0,1.3620145530293195,1.9172481991340757,0.0
262,"(0.8, 0.9]",38.0,1.7573872472783827,0.8942457231726284,0.0,1.3655041692639485,1.9461406066220237,0.0
263,"(0.8, 0.9]",39.0,1.71169686985173,0.9472817133443163,0.0,1.3701256271805409,1.976129577019978,0.0
264,"(0.8, 0.9]",40.0,1.711290322580645,0.9951612903225808,0.0,1.383115199191481,2.0070535732860293,0.0
265,"(0.8, 0.9]",41.0,1.5719178082191783,1.041095890410959,0.0,1.4125407074904945,2.0386301001727416,0.0
266,"(0.8, 0.9]",42.0,1.5942275042444822,1.0933786078098477,0.0,1.4423348846001909,2.0701987328239806,4.323282143591672e-06
267,"(0.8, 0.9]",43.0,1.4171029668411868,1.1326352530541013,0.0,1.4224013234826447,2.1008243802708524,2.901880828834386e-05
268,"(0.8, 0.9]",44.0,1.4208566108007448,1.1489757914338918,0.0,1.3448179182205837,2.1294813625561,8.580159324272316e-05
269,"(0.8, 0.9]",45.0,1.3062730627306274,1.190036900369004,0.0,1.2453111480382102,2.1554366623735097,0.0001772409790836691
270,"(0.8, 0.9]",46.0,1.1299212598425197,1.2578740157480315,0.0,1.1445507920779459,2.1779012564999514,0.0002977615571153822
271,"(0.8, 0.9]",47.0,1.0183673469387755,1.2448979591836733,0.0,1.0458362145147841,2.1963767592147527,0.00044327831561291045
272,"(0.8, 0.9]",48.0,0.9150743099787686,1.246284501061571,0.0,0.9496506992165625,2.2104883833864326,0.0006135384372772058
273,"(0.8, 0.9]",49.0,0.8385093167701864,1.283643892339545,0.0,0.856716229507223,2.2202043022716023,0.0008111243746976973
274,"(0.8, 0.9]",50.0,0.672686230248307,1.3205417607223482,0.0,0.7679092526659694,2.2255432198496896,0.0010408944792113504
275,"(0.8, 0.9]",51.0,0.6710816777041942,1.3245033112582782,0.0,0.6837352614482213,2.226761029926227,0.0013103509557781858
276,"(0.8, 0.9]",52.0,0.5320197044334976,1.2709359605911335,0.0,0.6043793615438509,2.2241084694383253,0.0016307922236980343
277,"(0.8, 0.9]",53.0,0.457920792079208,1.2747524752475248,0.0049504950495049506,0.5300380835909343,2.2177616323571794,0.002019300095875567
278,"(0.8, 0.9]",54.0,0.3756756756756757,1.2351351351351347,0.0027027027027027033,0.46095253596497493,2.2075272496224176,0.0024984132992523643
279,"(0.8, 0.9]",55.0,0.2972972972972973,1.272972972972973,0.0027027027027027033,0.39749063646341454,2.193024642279826,0.0030829986041229383
280,"(0.8, 0.9]",56.0,0.2611275964391692,1.172106824925816,0.008902077151335312,0.3398654405654485,2.1734660330721933,0.0037730693269810087
281,"(0.8, 0.9]",57.0,0.1891025641025641,1.1955128205128207,0.00641025641025641,0.28793635439342313,2.147979556352321,0.0045451860314025235
282,"(0.8, 0.9]",58.0,0.15172413793103448,1.113793103448276,0.010344827586206895,0.24155605893003657,2.1164425942352394,0.005331640418939156
283,"(0.8, 0.9]",59.0,0.13523131672597866,1.1245551601423487,0.021352313167259787,0.20065048033855667,2.079712667506371,0.005982285854232637
284,"(0.8, 0.9]",60.0,0.13095238095238096,1.0396825396825395,0.023809523809523808,0.1652418911299756,2.0383860407099874,0.006204569544133573
285,"(0.8, 0.9]",61.0,0.0782608695652174,1.0652173913043481,0.0391304347826087,0.13525229199047417,1.9933159409348975,0.0054955602812779576
286,"(0.8, 0.9]",62.0,0.05612244897959184,1.020408163265306,0.051020408163265314,0.11044104569319729,1.945080319281944,0.0031959742311269143
287,"(0.8, 0.9]",63.0,0.06211180124223601,1.037267080745341,0.043478260869565216,0.09057280022538262,1.8933702046868823,-0.000687554446910453
288,"(0.8, 0.9]",64.0,0.04424778761061947,0.9292035398230087,0.08849557522123894,0.07480738678924893,1.8378811693741182,-0.0019554745482489276
